issue_id,asset_id,source_id,domain,issue_type,severity,included_in_retrieval,estimated_risk_exposure_points,recommended_action,target_owner,cycle_time_target_days,status
ISS-00005,AST-00003,SRC-045,Case Operations,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Knowledge Manager,5,blocked
ISS-00008,AST-00004,SRC-062,Identity Verification,retrieval_ambiguity,P1,False,160,Rewrite or split asset to reduce ambiguous retrieval context,Governance Partner,15,open
ISS-00011,AST-00006,SRC-084,Sanctions Screening,stale_source,P1,False,160,Refresh or remove stale retrieval source,Data Steward,15,in_progress
ISS-00012,AST-00006,SRC-084,Sanctions Screening,lineage_owner_gap,P1,False,160,Document owner and upstream lineage,Knowledge Manager,20,in_progress
ISS-00013,AST-00006,SRC-084,Sanctions Screening,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Governance Partner,15,resolved
ISS-00014,AST-00006,SRC-084,Sanctions Screening,retrieval_ambiguity,P1,False,160,Rewrite or split asset to reduce ambiguous retrieval context,Data Steward,20,open
ISS-00024,AST-00010,SRC-034,Business Registry,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Source Owner,10,open
ISS-00035,AST-00015,SRC-054,Compliance Policy,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Source Owner,5,open
ISS-00037,AST-00016,SRC-066,Case Operations,stale_source,P1,True,160,Refresh or remove stale retrieval source,Data Steward,5,open
ISS-00038,AST-00016,SRC-066,Case Operations,metadata_gap,P1,True,160,Complete business description and field dictionary,Governance Partner,5,open
ISS-00039,AST-00016,SRC-066,Case Operations,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Data Steward,10,in_progress
ISS-00040,AST-00016,SRC-066,Case Operations,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,10,open
ISS-00043,AST-00017,SRC-027,Fraud Signals,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,10,resolved
ISS-00050,AST-00021,SRC-066,Case Operations,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Governance Partner,5,resolved
ISS-00051,AST-00022,SRC-018,Business Registry,metadata_gap,P1,True,160,Complete business description and field dictionary,Governance Partner,15,blocked
ISS-00052,AST-00022,SRC-018,Business Registry,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Knowledge Manager,5,open
ISS-00053,AST-00022,SRC-018,Business Registry,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Source Owner,5,in_progress
ISS-00055,AST-00024,SRC-084,Sanctions Screening,stale_source,P1,False,160,Refresh or remove stale retrieval source,Knowledge Manager,5,in_progress
ISS-00056,AST-00024,SRC-084,Sanctions Screening,metadata_gap,P1,False,160,Complete business description and field dictionary,Data Steward,5,blocked
ISS-00057,AST-00024,SRC-084,Sanctions Screening,lineage_owner_gap,P1,False,160,Document owner and upstream lineage,Knowledge Manager,5,blocked
ISS-00058,AST-00024,SRC-084,Sanctions Screening,retrieval_ambiguity,P1,False,160,Rewrite or split asset to reduce ambiguous retrieval context,Governance Partner,10,open
ISS-00064,AST-00027,SRC-061,Customer Risk Notes,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Governance Partner,10,resolved
ISS-00066,AST-00028,SRC-063,Customer Risk Notes,metadata_gap,P1,True,160,Complete business description and field dictionary,Knowledge Manager,10,open
ISS-00067,AST-00028,SRC-063,Customer Risk Notes,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Data Steward,5,open
ISS-00068,AST-00028,SRC-063,Customer Risk Notes,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,15,in_progress
ISS-00069,AST-00028,SRC-063,Customer Risk Notes,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Knowledge Manager,10,in_progress
ISS-00075,AST-00032,SRC-018,Business Registry,stale_source,P1,True,160,Refresh or remove stale retrieval source,Source Owner,10,in_progress
ISS-00076,AST-00032,SRC-018,Business Registry,metadata_gap,P1,True,160,Complete business description and field dictionary,Knowledge Manager,15,open
ISS-00077,AST-00032,SRC-018,Business Registry,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Governance Partner,5,open
ISS-00078,AST-00032,SRC-018,Business Registry,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Source Owner,5,blocked
ISS-00079,AST-00032,SRC-018,Business Registry,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Source Owner,10,open
ISS-00081,AST-00033,SRC-030,Fraud Signals,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Knowledge Manager,15,resolved
ISS-00088,AST-00035,SRC-036,Case Operations,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Governance Partner,15,open
ISS-00094,AST-00036,SRC-079,Fraud Signals,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Source Owner,10,in_progress
ISS-00100,AST-00038,SRC-026,Customer Risk Notes,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Data Steward,15,open
ISS-00104,AST-00039,SRC-053,Fraud Signals,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,5,open
ISS-00106,AST-00040,SRC-072,Identity Verification,stale_source,P1,True,160,Refresh or remove stale retrieval source,Knowledge Manager,10,open
ISS-00107,AST-00040,SRC-072,Identity Verification,metadata_gap,P1,True,160,Complete business description and field dictionary,Data Steward,10,in_progress
ISS-00108,AST-00040,SRC-072,Identity Verification,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Data Steward,20,open
ISS-00109,AST-00040,SRC-072,Identity Verification,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Governance Partner,15,in_progress
ISS-00113,AST-00042,SRC-053,Fraud Signals,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,20,in_progress
ISS-00115,AST-00043,SRC-025,Compliance Policy,metadata_gap,P1,False,160,Complete business description and field dictionary,Knowledge Manager,5,blocked
ISS-00116,AST-00043,SRC-025,Compliance Policy,lineage_owner_gap,P1,False,160,Document owner and upstream lineage,Knowledge Manager,10,resolved
ISS-00117,AST-00043,SRC-025,Compliance Policy,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Data Steward,15,in_progress
ISS-00118,AST-00043,SRC-025,Compliance Policy,retrieval_ambiguity,P1,False,160,Rewrite or split asset to reduce ambiguous retrieval context,Governance Partner,5,in_progress
ISS-00123,AST-00046,SRC-086,Identity Verification,stale_source,P1,True,160,Refresh or remove stale retrieval source,Data Steward,15,resolved
